"";"TCGA.DD.A1EG";"TCGA.DD.A3A1";"TCGA.DD.A3A4";"TCGA.EP.A26S";"TCGA.EP.A12J";"TCGA.BC.A10T";"TCGA.DD.A116";"TCGA.DD.A1EH";"TCGA.DD.A11A";"TCGA.DD.A119";"TCGA.DD.A39V";"TCGA.EP.A3RK";"TCGA.DD.A11B";"TCGA.DD.A1EI";"TCGA.BD.A2L6";"TCGA.BC.A10W";"TCGA.G3.A3CH";"TCGA.DD.A11C";"TCGA.BC.A10Y";"TCGA.DD.A3A3";"TCGA.DD.A3A8";"TCGA.DD.A1EL";"TCGA.BC.A10U";"TCGA.FV.A2QR";"TCGA.DD.A1EE";"TCGA.ES.A2HT";"TCGA.FV.A3I0";"TCGA.FV.A23B";"TCGA.DD.A113";"TCGA.BC.A110";"TCGA.DD.A1EB";"TCGA.DD.A3A5";"TCGA.BD.A3EP";"TCGA.BC.A10Q";"TCGA.FV.A3I1";"TCGA.DD.A39X";"TCGA.DD.A39Z";"TCGA.DD.A39W";"TCGA.BC.A10X";"TCGA.DD.A3A2";"TCGA.DD.A1EJ";"TCGA.DD.A118";"TCGA.BC.A216";"TCGA.DD.A11D";"TCGA.BC.A10R"
"TCGA.DD.A1EG";0;0,936067038032076;0;0,869481080874564;0,935010458488776;0,915205998825578;0,930957671935201;0;0,875806377296664;0,925013874571926;0,869095958869912;0,942438072892305;0,906238849096903;0;0,964750373534883;0;0,950074564149991;0,909409098145761;0,931515243767622;0;0,899064345915767;0;0,939402425379877;0,90328039643955;0;0,909398108252067;0;0;0;0,874660460038084;0,850636026379548;0,942146433671458;0;0;0;0;0;0;0,862621000301366;0,922715019542387;0;0;0;0,910312977741577;0,872157198183896
"TCGA.DD.A3A1";0,936067038032076;0;0;0,86657608124926;0,874027474512463;0,895750038584126;0,918598494641796;0;0,869078220633261;0,9341360339639;0,894796085794036;0,953430228386644;0,855735400616462;0;0,947860721289035;0;0,923167268980902;0;0,884196790304385;0,863452879007377;0;0;0,909999339688127;0,866812781064786;0;0,863026092820364;0;0;0;0,885238532437161;0;0,895601561168952;0;0;0,862647949816052;0;0;0;0,865730385762767;0,903587765170621;0;0;0,865123709897052;0,859707919485329;0,850881761905567
"TCGA.DD.A3A4";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,868251137344481;0;0;0;0;0;0;0;0;0;0;0;0,874300853818752
"TCGA.EP.A26S";0,869481080874564;0,86657608124926;0;0;0;0,935427950738907;0,889289749522095;0,881524678680377;0;0,919330803728854;0;0,872417349837205;0;0;0,865378460200445;0;0,908518553673884;0;0;0,853988057745052;0;0,875484329708292;0,901523377695019;0;0;0;0;0,870659954504207;0,879169081146219;0,856014055529861;0;0,896396428656054;0,880561444847385;0;0,851785401681978;0;0;0,930138580015312;0,887138046815432;0,89764415838907;0;0;0;0;0,86592339646291
"TCGA.EP.A12J";0,935010458488776;0,874027474512463;0;0;0;0,879913365141389;0,886916067515744;0;0,889880129553053;0,868055068324089;0;0,872085693280212;0,951197009998591;0;0,937594885676592;0;0,937425004107858;0,928918719959348;0,944561128762409;0;0,940897243690361;0;0,907106348195496;0,926792361083129;0;0,910576182479792;0;0;0;0;0,880478823644053;0,91732687531836;0;0;0;0;0;0;0;0,917756224171147;0;0;0;0,943463995566756;0
"TCGA.BC.A10T";0,915205998825578;0,895750038584126;0;0,935427950738907;0,879913365141389;0;0,910720816041977;0;0,878515588244898;0,941698855554267;0;0,879492948292969;0,870207911440573;0;0,92269407284505;0;0,95420772550909;0,874458736786028;0,918302654857632;0;0,852272351754868;0;0,912317874651769;0;0;0;0;0;0;0,865333639164863;0;0,92620920327659;0;0;0;0;0;0;0,893686762700034;0,941700368737388;0;0;0;0,871836957542547;0
"TCGA.DD.A116";0,930957671935201;0,918598494641796;0;0,889289749522095;0,886916067515744;0,910720816041977;0;0;0,852374342079873;0,939292291230505;0,911308740231159;0,933759843637239;0;0;0,939352169051757;0;0,941929206354112;0;0,887574159037821;0,859010383918931;0,858008873248055;0;0,900349446629716;0;0;0,858777063231208;0;0;0;0,87114595162618;0;0,921398303562081;0;0;0;0;0;0;0,851727471635307;0,93504570931512;0;0;0;0,853368746608057;0,871195740191498
"TCGA.DD.A1EH";0;0;0;0,881524678680377;0;0;0;0;0;0;0;0;0;0,914508660144381;0;0;0;0;0;0,871350243602565;0;0,893858117212992;0;0;0;0;0;0,953140128642923;0,876306815024896;0;0;0;0,920163691538075;0;0,861118575846593;0;0;0,862489533220651;0;0;0,877800202478648;0,914468724868831;0;0;0,886404076645248
"TCGA.DD.A11A";0,875806377296664;0,869078220633261;0;0;0,889880129553053;0,878515588244898;0,852374342079873;0;0;0;0;0;0,893506129908444;0;0,895557969458313;0;0,906333630253928;0,882754750069728;0,889441102375462;0;0,850600649065577;0;0,886461738040136;0,888714601785225;0;0;0;0;0;0;0,945694080168802;0,853312792622848;0;0;0;0;0;0;0;0,931475217364806;0;0;0;0,913369979837409;0
"TCGA.DD.A119";0,925013874571926;0,9341360339639;0;0,919330803728854;0,868055068324089;0,941698855554267;0,939292291230505;0;0;0;0,918976835314611;0,922520915834639;0,86235281810893;0;0,927855302156909;0;0,947224274784287;0,8625548429902;0,915753488473792;0,867451159744814;0,858159766462104;0;0,918310950513712;0;0;0,870685088536882;0;0;0;0,868249740156132;0;0,92100543600359;0;0;0;0;0;0;0,859234756951696;0,911673298465739;0;0;0;0;0
