"";"seqnames";"start";"end";"width";"strand";"source";"type";"score";"phase";"gene_id";"gene_type";"gene_name";"level";"hgnc_id";"havana_gene"
"ENSG00000095002.15";"chr2";47403067;47663146;260080;"+";"HAVANA";"gene";NA;NA;"ENSG00000095002.15";"protein_coding";"MSH2";"1";"HGNC:7325";"OTTHUMG00000128861.10"
"ENSG00000097046.13";"chr1";91500851;91525764;24914;"+";"HAVANA";"gene";NA;NA;"ENSG00000097046.13";"protein_coding";"CDC7";"2";"HGNC:1745";"OTTHUMG00000047810.4"
"ENSG00000101412.13";"chr20";33675477;33686385;10909;"-";"HAVANA";"gene";NA;NA;"ENSG00000101412.13";"protein_coding";"E2F1";"2";"HGNC:3113";"OTTHUMG00000032265.3"
"ENSG00000106462.11";"chr7";148807383;148884321;76939;"-";"HAVANA";"gene";NA;NA;"ENSG00000106462.11";"protein_coding";"EZH2";"2";"HGNC:3527";"OTTHUMG00000158973.3"
"ENSG00000109805.10";"chr4";17810979;17844865;33887;"+";"HAVANA";"gene";NA;NA;"ENSG00000109805.10";"protein_coding";"NCAPG";"2";"HGNC:24304";"OTTHUMG00000128539.4"
"ENSG00000114346.14";"chr3";172750682;172821474;70793;"+";"HAVANA";"gene";NA;NA;"ENSG00000114346.14";"protein_coding";"ECT2";"1";"HGNC:3155";"OTTHUMG00000156762.6"
"ENSG00000116128.11";"chr1";147541501;147626216;84716;"+";"HAVANA";"gene";NA;NA;"ENSG00000116128.11";"protein_coding";"BCL9";"2";"HGNC:1008";"OTTHUMG00000014031.3"
"ENSG00000117399.14";"chr1";43358981;43363203;4223;"+";"HAVANA";"gene";NA;NA;"ENSG00000117399.14";"protein_coding";"CDC20";"2";"HGNC:1723";"OTTHUMG00000007420.3"
"ENSG00000117632.23";"chr1";25884181;25906991;22811;"-";"HAVANA";"gene";NA;NA;"ENSG00000117632.23";"protein_coding";"STMN1";"2";"HGNC:6510";"OTTHUMG00000007389.4"
"ENSG00000131747.15";"chr17";40388525;40417896;29372;"-";"HAVANA";"gene";NA;NA;"ENSG00000131747.15";"protein_coding";"TOP2A";"1";"HGNC:11989";"OTTHUMG00000155008.4"
"ENSG00000138160.7";"chr10";92574105;92655395;81291;"+";"HAVANA";"gene";NA;NA;"ENSG00000138160.7";"protein_coding";"KIF11";"2";"HGNC:6388";"OTTHUMG00000018761.3"
"ENSG00000138180.16";"chr10";93496612;93529092;32481;"+";"HAVANA";"gene";NA;NA;"ENSG00000138180.16";"protein_coding";"CEP55";"2";"HGNC:1161";"OTTHUMG00000018774.2"
"ENSG00000147889.18";"chr9";21967752;21995301;27550;"-";"HAVANA";"gene";NA;NA;"ENSG00000147889.18";"protein_coding";"CDKN2A";"1";"HGNC:1787";"OTTHUMG00000019686.7"
"ENSG00000154065.17";"chr18";23598926;23662911;63986;"-";"HAVANA";"gene";NA;NA;"ENSG00000154065.17";"protein_coding";"ANKRD29";"2";"HGNC:27110";"OTTHUMG00000131875.6"
"ENSG00000164045.12";"chr3";48157146;48188417;31272;"-";"HAVANA";"gene";NA;NA;"ENSG00000164045.12";"protein_coding";"CDC25A";"2";"HGNC:1725";"OTTHUMG00000133535.6"
"ENSG00000165757.9";"chr10";30012803;30115494;102692;"-";"HAVANA";"gene";NA;NA;"ENSG00000165757.9";"protein_coding";"JCAD";"2";"HGNC:29283";"OTTHUMG00000017885.2"
"ENSG00000171848.16";"chr2";10120698;10211725;91028;"+";"HAVANA";"gene";NA;NA;"ENSG00000171848.16";"protein_coding";"RRM2";"2";"HGNC:10452";"OTTHUMG00000185555.7"
"ENSG00000176597.12";"chr3";183253253;183298504;45252;"+";"HAVANA";"gene";NA;NA;"ENSG00000176597.12";"protein_coding";"B3GNT5";"1";"HGNC:15684";"OTTHUMG00000158436.3"
"ENSG00000178999.13";"chr17";8204733;8210600;5868;"-";"HAVANA";"gene";NA;NA;"ENSG00000178999.13";"protein_coding";"AURKB";"1";"HGNC:11390";"OTTHUMG00000108189.6"
"ENSG00000187498.16";"chr13";110148963;110307157;158195;"-";"HAVANA";"gene";NA;NA;"ENSG00000187498.16";"protein_coding";"COL4A1";"2";"HGNC:2202";"OTTHUMG00000017342.11"
